CreditScore,Age,Tenure,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,Total_Products_More Than 2 Products,Total_Products_One product,Total_Products_Two Products,Account_Balance_More Than zero Balance,Account_Balance_Zero Balance,label
686,3.4657359027997265,6,1,1,179093.26,1,0,0,0,1,0,0,1,0,1,0
632,3.7376696182833684,4,1,1,195978.86,0,1,0,0,1,0,0,1,1,0,0
559,3.1780538303479458,3,1,0,85891.02,0,0,1,0,1,0,1,0,1,0,1
561,3.295836866004329,9,1,0,153080.4,1,0,0,1,0,0,1,0,1,0,1
517,4.02535169073515,9,0,0,39488.04,1,0,0,0,1,0,1,0,1,0,1
569,3.713572066704308,4,1,0,163150.03,1,0,0,0,1,0,1,0,1,0,1
683,3.6888794541139363,1,0,0,75762.0,1,0,0,1,0,0,0,1,0,1,0
759,3.8066624897703196,8,1,1,99251.24,1,0,0,1,0,0,0,1,0,1,0
426,3.5263605246161616,3,1,1,61230.83,1,0,0,1,0,0,0,1,0,1,0
601,4.30406509320417,2,0,1,51554.58,1,0,0,0,1,0,0,1,0,1,0
735,3.970291913552122,8,0,1,170454.93,1,0,0,1,0,0,0,1,1,0,1
667,3.6635616461296463,2,1,0,40721.24,0,0,1,1,0,0,0,1,0,1,1
741,3.4657359027997265,5,1,1,64839.23,1,0,0,0,1,0,1,0,0,1,0
511,3.4011973816621555,5,1,0,143994.86,1,0,0,1,0,0,0,1,0,1,0
508,3.713572066704308,5,1,1,94170.84,1,0,0,1,0,0,0,1,0,1,0
529,3.4339872044851463,7,1,1,175697.87,1,0,0,1,0,0,0,1,0,1,0
673,3.784189633918261,8,0,1,5708.19,1,0,0,1,0,0,1,0,1,0,0
515,3.6888794541139363,10,1,0,138360.29,0,0,1,0,1,0,1,0,1,0,0
850,3.8918202981106265,8,1,0,119174.88,0,1,0,0,1,0,1,0,1,0,1
627,3.332204510175204,5,1,1,130504.49,0,1,0,0,1,0,1,0,1,0,0
636,3.58351893845611,5,1,1,111573.3,1,0,0,0,1,0,0,1,1,0,0
798,3.332204510175204,3,1,0,2305.27,1,0,0,0,1,0,0,1,0,1,0
700,3.5553480614894135,4,1,0,192933.37,0,1,0,0,1,0,0,1,1,0,0
514,3.5553480614894135,3,1,0,10008.68,1,0,0,0,1,0,1,0,1,0,0
713,3.6109179126442243,8,1,1,16403.41,1,0,0,1,0,0,1,0,0,1,0
467,3.332204510175204,10,1,0,32349.29,0,1,0,0,1,0,1,0,1,0,1
689,3.4965075614664802,2,1,0,169381.9,0,1,0,0,1,0,0,1,1,0,0
510,3.4339872044851463,0,1,0,33099.41,0,1,0,0,1,0,1,0,1,0,1
618,4.02535169073515,7,1,1,142400.27,1,0,0,0,1,0,1,0,0,1,1
474,3.8066624897703196,10,0,0,172175.9,1,0,0,0,1,0,0,1,0,1,0
754,3.6109179126442243,6,1,1,116141.72,1,0,0,0,1,0,1,0,0,1,0
703,4.02535169073515,9,0,0,85547.33,1,0,0,0,1,0,1,0,0,1,1
683,3.4011973816621555,10,0,0,79240.9,1,0,0,0,1,0,1,0,1,0,0
597,3.258096538021482,8,1,0,42330.58,1,0,0,1,0,0,1,0,1,0,0
812,3.1780538303479458,10,1,1,156906.15,1,0,0,0,1,0,0,1,0,1,0
832,3.5263605246161616,6,0,1,146511.2,0,0,1,1,0,0,0,1,1,0,0
506,3.7612001156935624,2,1,0,105568.6,1,0,0,0,1,0,0,1,0,1,0
